Data,2024-09-26,
Competição,LIB,
Time,Peñarol,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,5
Rossi,Simões,5
Varela,B10,4
Varela,Simões,4
Fabrício Bruno,B10,5
Fabrício Bruno,Simões,6
Léo Pereira,B10,4.5
Léo Pereira,Simões,5
Alex Sandro,B10,6
Alex Sandro,Simões,6.5
Léo Ortiz,B10,6
Léo Ortiz,Simões,6
De La Cruz,B10,2
De La Cruz,Simões,1
De Arrascaeta,B10,2
De Arrascaeta,Simões,1.5
Gerson,B10,6
Gerson,Simões,7
G. Plata,B10,4.5
G. Plata,Simões,5.5
Bruno Henrique,B10,6
Bruno Henrique,Simões,5.5
