Data,2025-06-29,
Competição,CWC,
Time,Bayern Munchen,
Local,C,
,,
Jogador,Nota por,Nota
Rossi,B10,5
Wesley,B10,6.5
Léo Ortiz,B10,7
Léo Pereira,B10,8
Alex Sandro,B10,8
Pulgar,B10,5.5
Jorginho,B10,7.5
Arrascaeta,B10,3
Gerson,B10,8.5
G. Plata,B10,7.5
Allan,B10,6.5
Luiz Araujo,B10,7
Rossi,Simões,5.5
Wesley,Simões,7
Léo Ortiz,Simões,7.5
Léo Pereira,Simões,8
Alex Sandro,Simões,8
Pulgar,Simões,5.5
Jorginho,Simões,7.5
Arrascaeta,Simões,3
Gerson,Simões,8.5
G. Plata,Simões,7.5
Allan,Simões,6.5
Luiz Araujo,Simões,7.5
