Data,2025-10-05,
Competição,BR,
Time,Bahia,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,4.5
Emerson Royal,B10,5
Léo Ortiz,B10,6
Danilo,B10,0
Ayrton Lucas,B10,2
Jorginho,B10,6
De La Cruz,B10,4
Arrascaeta,B10,6
G. Plata,B10,4.5
Wallace Yan,B10,0
Luiz Araujo,B10,4.5
S. Lino,B10,3
Carrascal,B10,4.5
Cleiton,B10,3
Rossi,Simões,4
Emerson Royal,Simões,5
Léo Ortiz,Simões,6
Danilo,Simões,0
Ayrton Lucas,Simões,0.5
Jorginho,Simões,6
De La Cruz,Simões,3.5
Arrascaeta,Simões,6
G. Plata,Simões,4.5
Wallace Yan,Simões,0.1
Luiz Araujo,Simões,4.5
S. Lino,Simões,2
Carrascal,Simões,4.5
Cleiton,Simões,3.5
