Data,2024-10-20,
Competição,CDB,
Time,Corinthians,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,8
Rossi,Simões,8
Wesley,B10,9
Wesley,Simões,9
Fabrício Bruno,B10,7.5
Fabrício Bruno,Simões,7.5
Léo Ortiz,B10,7.5
Léo Ortiz,Simões,7.5
Léo Pereira,B10,6
Léo Pereira,Simões,6
Alex Sandro,B10,6.5
Alex Sandro,Simões,7
Ayrton Lucas,B10,5
Ayrton Lucas,Simões,5
Pulgar,B10,8.5
Pulgar,Simões,8.5
De La Cruz,B10,4
De La Cruz,Simões,4
Carlos Alcaraz,B10,6.5
Carlos Alcaraz,Simões,7
Gerson,B10,9
Gerson,Simões,9
Bruno Henrique,B10,3
Bruno Henrique,Simões,2
Gabigol,B10,2
Gabigol,Simões,2
