Data,2024-04-24,
Competição,LIB,
Time,Bolivar,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,6.5
Rossi,Simões,7.5
Wesley,B10,3.5
Wesley,Simões,3.5
Fabrício Bruno,B10,4.5
Fabrício Bruno,Simões,5
David Luiz,B10,7.5
David Luiz,Simões,8
Léo Ortiz,B10,6
Léo Ortiz,Simões,6.5
Viña,B10,8
Viña,Simões,8.5
Igor Jesus,B10,5.5
Igor Jesus,Simões,6
De La Cruz,B10,5
De La Cruz,Simões,5
Gerson,B10,5
Gerson,Simões,5
Vitor Hugo,B10,4.5
Vitor Hugo,Simões,4.5
Luiz Araujo,B10,5
Luiz Araujo,Simões,5.5
Bruno Henrique,B10,4.5
Bruno Henrique,Simões,4.5
