Data,2025-05-28
Competição,LIB
Time,Deportivo Táchira
Local,C
,,
Jogador,Nota por,Nota
Rossi,B10,9
Varela,B10,3
Léo Ortiz,B10,5
Léo Pereira,B10,4
Alex Sandro,B10,3.5
Arrascaeta,B10,1
Gerson,B10,5
Michael,B10,4
Bruno Henrique,B10,2
Allan,B10,4.5
Luiz Araujo,B10,6
Pedro,B10,2
Rossi,Simões,9
Varela,Simões,2
Léo Ortiz,Simões,4
Léo Pereira,Simões,2
Alex Sandro,Simões,3
Arrascaeta,Simões,0
Gerson,Simões,5
Michael,Simões,4
Bruno Henrique,Simões,2
Allan,Simões,5
Luiz Araujo,Simões,6
Pedro,Simões,1.5
