Data,2024-11-20,
Competição,BR,
Time,Cuiabá,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,6.5
Wesley,B10,7.5
Fabrício Bruno,B10,2.5
Léo Pereira,B10,4.5
Alex Sandro,B10,6
Ayrton Lucas,B10,5
Evertton Araújo,B10,6.5
Pulgar,B10,7.5
Carlos Alcaraz,B10,3
Michael,B10,5
Bruno Henrique,B10,6.5
Rossi,Simões,6.5
Wesley,Simões,8
Fabrício Bruno,Simões,3
Léo Pereira,Simões,4.5
Alex Sandro,Simões,6
Ayrton Lucas,Simões,5
Evertton Araújo,Simões,6.5
Pulgar,Simões,8
Carlos Alcaraz,Simões,4
Michael,Simões,4.5
Bruno Henrique,Simões,6.5
