Data,2025-08-03,
Competição,BR,
Time,Ceará,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,3
Emerson Royal,B10,5.5
Léo Ortiz,B10,6.5
Léo Pereira,B10,4.5
Alex Sandro,B10,5
Jorginho,B10,6
Evertton Araújo,B10,5
Saúl,B10,4.5
Arrascaeta,B10,7.5
G. Plata,B10,7
Bruno Henrique,B10,3.5
Juninho,B10,5
S. Lino,B10,6
Rossi,Simões,3
Emerson Royal,Simões,6
Léo Ortiz,Simões,6.5
Léo Pereira,Simões,4
Alex Sandro,Simões,6
Jorginho,Simões,6
Evertton Araújo,Simões,5.5
Saúl,Simões,4.5
Arrascaeta,Simões,7.5
G. Plata,Simões,7.5
Bruno Henrique,Simões,3.5
Juninho,Simões,5
S. Lino,Simões,6.5
