Data,2025-11-29,
Competição,LIB,
Time,Palmeiras,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,7
Varela,B10,9
Léo Pereira,B10,8
Danilo,B10,8.5
Alex Sandro,B10,8
Pulgar,B10,7.5
Jorginho,B10,7
Arrascaeta,B10,7
Cebolinha,B10,8
Bruno Henrique,B10,7
S. Lino,B10,7.5
Carrascal,B10,8
Rossi,Simões,7
Varela,Simões,9
Léo Pereira,Simões,8
Danilo,Simões,8
Alex Sandro,Simões,8
Pulgar,Simões,7.5
Jorginho,Simões,7
Arrascaeta,Simões,7
Cebolinha,Simões,8
Bruno Henrique,Simões,7
S. Lino,Simões,7.5
Carrascal,Simões,8.5
