Data,2025-11-19,
Competição,BR,
Time,Fluminense,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,2
Emerson Royal,B10,2.5
Léo Pereira,B10,7
Danilo,B10,6
João Victor,B10,0
Ayrton Lucas,B10,4
Pulgar,B10,5
Saúl,B10,2
Cebolinha,B10,7.5
Bruno Henrique,B10,4
Juninho,B10,5.5
Luiz Araujo,B10,4
S. Lino,B10,3.5
Carrascal,B10,5
Rossi,Simões,1
Emerson Royal,Simões,2
Léo Pereira,Simões,7
Danilo,Simões,6
João Victor,Simões,0
Ayrton Lucas,Simões,2.5
Pulgar,Simões,5
Saúl,Simões,1.5
Cebolinha,Simões,7
Bruno Henrique,Simões,4
Juninho,Simões,5.5
Luiz Araujo,Simões,3.5
S. Lino,Simões,3.5
Carrascal,Simões,4.5
