Data,2024-11-26,
Competição,BR,
Time,Fortaleza,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,5
Wesley,B10,8
Léo Ortiz,B10,8.5
Léo Pereira,B10,7
Alex Sandro,B10,7.5
Pulgar,B10,5
Gerson,B10,6
G. Plata,B10,6
Michael,B10,4
Bruno Henrique,B10,6.5
Gabigol,B10,5
De La Cruz,B10,5.5
Rossi,Simões,5
Wesley,Simões,8
Léo Ortiz,Simões,8.5
Léo Pereira,Simões,7
Alex Sandro,Simões,7.5
Pulgar,Simões,3
Gerson,Simões,6
G. Plata,Simões,5.5
Michael,Simões,4
Bruno Henrique,Simões,6
Gabigol,Simões,5.5
De La Cruz,Simões,5.5
