Data,2024-08-07,
Competição,CDB,
Time,Palmeiras,
Local,F,
,,
Jogador,Nota por,Nota
Matheus Cunha,B10,6
Matheus Cunha,Simões,6.5
Varela,B10,6
Varela,Simões,6.5
Fabrício Bruno,B10,6
Fabrício Bruno,Simões,6
Léo Pereira,B10,5.5
Léo Pereira,Simões,5.5
Ayrton Lucas,B10,3
Ayrton Lucas,Simões,3
Pulgar,B10,5
Pulgar,Simões,5
Allan,B10,4
Allan,Simões,4
Arrascaeta,B10,5
Arrascaeta,Simões,6
Gerson,B10,5.5
Gerson,Simões,6
Luiz Araujo,B10,4.5
Luiz Araujo,Simões,5
Pedro,B10,6.5
Pedro,Simões,7
David Luiz,B10,6.5
David Luiz,Simões,7
