Data,2024-12-04,
Competição,BR,
Time,Criciúma,
Local,F,
,,
Jogador,Nota por,Nota
Matheus Cunha,B10,5.5
Matheus Cunha,Simões,6
Varela,B10,7
Varela,Simões,7.5
David Luiz,B10,7
David Luiz,Simões,7
Fabrício Bruno,B10,7
Fabrício Bruno,Simões,7
Ayrton Lucas,B10,7
Ayrton Lucas,Simões,7
Pulgar,B10,7.5
Pulgar,Simões,7.5
Evertton Araújo,B10,6
Evertton Araújo,Simões,6
Carlos Alcaraz,B10,4
Carlos Alcaraz,Simões,3.5
Matheus Gonçalves,B10,6
Matheus Gonçalves,Simões,6
G. Plata,B10,6
G. Plata,Simões,6.5
Bruno Henrique,B10,7.5
Bruno Henrique,Simões,7.5
Luiz Araujo,B10,8
Luiz Araujo,Simões,8
