Data,2024-06-26,
Competição,BR,
Time,Juventude,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,8.5
Wesley,B10,5.5
Fabrício Bruno,B10,5.5
Léo Pereira,B10,4
Ayrton Lucas,B10,3.5
Léo Ortiz,B10,6
Gerson,B10,6.5
Lorran,B10,5
Allan,B10,5
Vitor Hugo,B10,4
Luiz Araujo,B10,7
Pedro,B10,8
Rossi,Simões,9
Wesley,Simões,6
Fabrício Bruno,Simões,6
Léo Pereira,Simões,4
Ayrton Lucas,Simões,3.5
Léo Ortiz,Simões,6
Gerson,Simões,6.5
Lorran,Simões,5
Allan,Simões,5
Vitor Hugo,Simões,4
Luiz Araujo,Simões,7
Pedro,Simões,8.5
