Data,2025-08-13,
Competição,LIB,
Time,Internacional,
Local,C,
,,
Jogador,Nota por,Nota
Rossi,B10,7
Varela,B10,6
Emerson Royal,B10,6
Léo Ortiz,B10,7.5
Léo Pereira,B10,8
Alex Sandro,B10,6
Jorginho,B10,8.5
Allan,B10,4.5
G. Plata,B10,5.5
Bruno Henrique,B10,7.5
Luiz Araujo,B10,6.5
S. Lino,B10,7
Rossi,Simões,7
Varela,Simões,6
Emerson Royal,Simões,5.5
Léo Ortiz,Simões,7.5
Léo Pereira,Simões,8
Alex Sandro,Simões,7
Jorginho,Simões,8.5
Allan,Simões,4.5
G. Plata,Simões,5.5
Bruno Henrique,Simões,7
Luiz Araujo,Simões,6.5
S. Lino,Simões,7.5
