Data,2024-08-15,
Competição,LIB,
Time,Bolivar,
Local,C,
,,
Jogador,Nota por,Nota
Rossi,B10,6
Rossi,Simões,6
Varela,B10,7
Varela,Simões,7.5
Fabrício Bruno,B10,7
Fabrício Bruno,Simões,7
Léo Pereira,B10,7
Léo Pereira,Simões,7
Ayrton Lucas,B10,5.5
Ayrton Lucas,Simões,5.5
Pulgar,B10,3.5
Pulgar,Simões,3
De La Cruz,B10,6.5
De La Cruz,Simões,6.5
Arrascaeta,B10,5.5
Arrascaeta,Simões,5.5
Gerson,B10,6
Gerson,Simões,6
Luiz Araujo,B10,8.5
Luiz Araujo,Simões,8.5
Pedro,B10,8
Pedro,Simões,8
Gabigol,B10,4
Gabigol,Simões,3.5
