Data,2025-10-15,
Competição,BR,
Time,Botafogo,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,7.5
Emerson Royal,B10,6.5
Léo Ortiz,B10,8.5
Léo Pereira,B10,7.5
Alex Sandro,B10,8
Jorginho,B10,7.5
Evertton Araújo,B10,6.5
Arrascaeta,B10,7.5
Luiz Araujo,B10,7.5
Pedro,B10,9
S. Lino,B10,4
Rossi,Simões,7.5
Emerson Royal,Simões,6.5
Léo Ortiz,Simões,8.5
Léo Pereira,Simões,7.5
Alex Sandro,Simões,8
Jorginho,Simões,7.5
Evertton Araújo,Simões,6.5
Arrascaeta,Simões,7.5
Luiz Araujo,Simões,7.5
Pedro,Simões,9
S. Lino,Simões,4
