Data,2025-12-17,
Competição,INT,
Time,PSG,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,4.5
Varela,B10,8.5
Léo Ortiz,B10,8.5
Léo Pereira,B10,8.7
Alex Sandro,B10,9
Pulgar,B10,7
Jorginho,B10,8
De La Cruz,B10,8
Saúl,B10,7.5
Arrascaeta,B10,6.5
G. Plata,B10,9.5
Cebolinha,B10,7
Bruno Henrique,B10,7
Luiz Araujo,B10,6.5
Pedro,B10,6
Carrascal,B10,5.5
Rossi,Simões,4.5
Varela,Simões,8.5
Léo Ortiz,Simões,8.5
Léo Pereira,Simões,8.7
Alex Sandro,Simões,9
Pulgar,Simões,7.5
Jorginho,Simões,8
De La Cruz,Simões,8
Saúl,Simões,7.5
Arrascaeta,Simões,6
G. Plata,Simões,9.5
Cebolinha,Simões,7
Bruno Henrique,Simões,8
Luiz Araujo,Simões,6.5
Pedro,Simões,6
Carrascal,Simões,5.5
