Data,2025-08-17,
Competição,BR,
Time,Internacional,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,7.5
Varela,B10,7.5
Léo Ortiz,B10,8
Léo Pereira,B10,8
Ayrton Lucas,B10,8.5
Jorginho,B10,8
Saúl,B10,7.5
Arrascaeta,B10,7.5
G. Plata,B10,8
Luiz Araujo,B10,6
Pedro,B10,9
S. Lino,B10,7
Rossi,Simões,7.5
Varela,Simões,7.5
Léo Ortiz,Simões,8
Léo Pereira,Simões,8
Ayrton Lucas,Simões,8.5
Jorginho,Simões,8
Saúl,Simões,7.5
Arrascaeta,Simões,8
G. Plata,Simões,8
Luiz Araujo,Simões,6
Pedro,Simões,9
S. Lino,Simões,7.5
