Data,2024-04-02,
Competição,LIB,
Time,Millionarios,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,5
Varela,B10,6
Fabrício Bruno,B10,7
David Luiz,B10,7
Viña,B10,4
Pulgar,B10,4.5
Igor Jesus,B10,4
Allan,B10,6.5
De Arrascaeta,B10,6.5
Cebolinha,B10,5.5
Bruno Henrique,B10,6
Pedro,B10,6
Rossi,Simões,5
Varela,Simões,6
Fabrício Bruno,Simões,7.5
David Luiz,Simões,7
Viña,Simões,4
Pulgar,Simões,4.5
Igor Jesus,Simões,4
Allan,Simões,6.5
De Arrascaeta,Simões,6.5
Cebolinha,Simões,5.5
Bruno Henrique,Simões,6
Pedro,Simões,6.5
