Data,2024-02-10,
Competição,CAR,
Time,Volta Redonda,
Local,C,
,,
Jogador,Nota por,Nota
Matheus Cunha,B10,6.5
Wesley,B10,4
Fabrício Bruno,B10,7
David Luiz,B10,6.5
Ayrton Lucas,B10,7.5
Allan,B10,4.5
Vitor Hugo,B10,4.5
De La Cruz,B10,5.5
Luiz Araujo,B10,8
Bruno Henrique,B10,6.5
Gabigol,B10,6.5
Matheus Cunha,Simões,6.5
Wesley,Simões,3
Fabrício Bruno,Simões,7
David Luiz,Simões,7
Ayrton Lucas,Simões,7.5
Allan,Simões,4
Vitor Hugo,Simões,4.5
De La Cruz,Simões,6
Luiz Araujo,Simões,8
Bruno Henrique,Simões,6
Gabigol,Simões,6.5
