Data,2025-12-10,
Competição,INT,
Time,Cruz Azul,
Local,C,
,,
Jogador,Nota por,Nota
Rossi,B10,6
Varela,B10,7
Léo Ortiz,B10,7
Léo Pereira,B10,7
Alex Sandro,B10,8
Pulgar,B10,4.5
Jorginho,B10,6
Arrascaeta,B10,9
G. Plata,B10,6.5
Cebolinha,B10,7.5
Bruno Henrique,B10,6.5
S. Lino,B10,5
Carrascal,B10,4
Rossi,Simões,7
Varela,Simões,7.5
Léo Ortiz,Simões,7
Léo Pereira,Simões,7
Alex Sandro,Simões,8
Pulgar,Simões,4.5
Jorginho,Simões,5.5
Arrascaeta,Simões,9
G. Plata,Simões,6.5
Cebolinha,Simões,7.5
Bruno Henrique,Simões,6.5
S. Lino,Simões,5.5
Carrascal,Simões,4
