Data,2025-09-26,
Competição,LIB,
Time,Estudiantes,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,8.5
Varela,B10,4.5
Léo Ortiz,B10,3
Léo Pereira,B10,3
Alex Sandro,B10,6.5
Jorginho,B10,5.5
Saúl,B10,8.5
Arrascaeta,B10,1.5
G. Plata,B10,3.5
Luiz Araujo,B10,0
Pedro,B10,2
S. Lino,B10,5.5
Carrascal,B10,6.5
Rossi,Simões,6
Varela,Simões,3
Léo Ortiz,Simões,2
Léo Pereira,Simões,2
Alex Sandro,Simões,6.5
Jorginho,Simões,5.5
Saúl,Simões,8
Arrascaeta,Simões,0
G. Plata,Simões,3
Luiz Araujo,Simões,0
Pedro,Simões,0.5
S. Lino,Simões,5
Carrascal,Simões,6.5
