Data,2025-10-30,
Competição,LIB,
Time,Racing,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,9.5
Varela,B10,5.5
Léo Ortiz,B10,8.5
Léo Pereira,B10,9.5
Danilo,B10,7.5
Alex Sandro,B10,9
Pulgar,B10,9
Jorginho,B10,8.5
Arrascaeta,B10,7
G. Plata,B10,5.5
Bruno Henrique,B10,7
Luiz Araujo,B10,8
Carrascal,B10,7.5
Rossi,Simões,10
Varela,Simões,5.5
Léo Ortiz,Simões,8.5
Léo Pereira,Simões,9.5
Danilo,Simões,7.5
Alex Sandro,Simões,9
Pulgar,Simões,9
Jorginho,Simões,8
Arrascaeta,Simões,7
G. Plata,Simões,5
Bruno Henrique,Simões,7
Luiz Araujo,Simões,8
Carrascal,Simões,7
