Data,2024-09-22,
Competição,BR,
Time,Grêmio,
Local,F,
,,
Jogador,Nota por,Nota
Matheus Cunha,B10,0
Matheus Cunha,Simões,0
Wesley,B10,4
Wesley,Simões,5.5
David Luiz,B10,5.5
David Luiz,Simões,6
Cleiton,B10,5.5
Cleiton,Simões,6.5
Ayrton Lucas,B10,4.5
Ayrton Lucas,Simões,4
Allan,B10,3
Allan,Simões,3
Evertton Araújo,B10,6.5
Evertton Araújo,Simões,7
Lorran,B10,6.5
Lorran,Simões,6.5
Matheus Gonçalves,B10,8
Matheus Gonçalves,Simões,8.5
Carlos Alcaraz,B10,5.5
Carlos Alcaraz,Simões,5
Carlinhos,B10,0
Carlinhos,Simões,0
