Data,2025-11-22,
Competição,BR,
Time,Red Bull Bragantino,
Local,C,
,,
Jogador,Nota por,Nota
Rossi,B10,7
Varela,B10,7.5
Léo Pereira,B10,8
Danilo,B10,7
Alex Sandro,B10,8
Jorginho,B10,8.5
Evertton Araújo,B10,8.5
Arrascaeta,B10,9.5
G. Plata,B10,3.5
Cebolinha,B10,7.5
Bruno Henrique,B10,8
Carrascal,B10,6
Rossi,Simões,7
Varela,Simões,7.5
Léo Pereira,Simões,8
Danilo,Simões,7
Alex Sandro,Simões,8
Jorginho,Simões,8.5
Evertton Araújo,Simões,8.5
Arrascaeta,Simões,9.5
G. Plata,Simões,3.5
Cebolinha,Simões,8
Bruno Henrique,Simões,8
Carrascal,Simões,6
