Data,2025-01-30,
Competição,CAR,
Time,Sampaio Corrêa,
Local,C,
,,
Jogador,Nota por,Nota
Matheus Cunha,B10,6
Varela,B10,7
João Victor,B10,7
Cleiton,B10,6
Ayrton Lucas,B10,6
Allan,B10,8
Evertton Araújo,B10,7
Carlos Alcaraz,B10,7
Matheus Gonçalves,B10,7
Cebolinha,B10,6.5
Juninho,B10,5.5
De Arrascaeta,B10,6.5
Wallace Yan,B10,7
Luiz Araujo,B10,7.5
Matheus Cunha,Simões,6
Varela,Simões,7.5
João Victor,Simões,7.5
Cleiton,Simões,5
Ayrton Lucas,Simões,6
Allan,Simões,8
Evertton Araújo,Simões,7
Carlos Alcaraz,Simões,7
Matheus Gonçalves,Simões,7
Cebolinha,Simões,6.5
Juninho,Simões,5.5
De Arrascaeta,Simões,6.5
Wallace Yan,Simões,7.5
Luiz Araujo,Simões,7.5
