Data,2025-07-23,
Competição,BR,
Time,Red Bull Bragantino,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,8.5
Varela,B10,5
Wesley,B10,6
Léo Ortiz,B10,7
Léo Pereira,B10,7.5
Jorginho,B10,4.5
Evertton Araújo,B10,8
Arrascaeta,B10,6.5
Bruno Henrique,B10,6
Wallace Yan,B10,8
Luiz Araujo,B10,6
Pedro,B10,6
Viña,B10,8.5
Rossi,Simões,8.5
Varela,Simões,5
Wesley,Simões,4
Léo Ortiz,Simões,7
Léo Pereira,Simões,7.5
Jorginho,Simões,5
Evertton Araújo,Simões,7.5
Arrascaeta,Simões,7
Bruno Henrique,Simões,6
Wallace Yan,Simões,8
Luiz Araujo,Simões,6
Pedro,Simões,6
Viña,Simões,8.5
