Data,2024-06-16,
Competição,BR,
Time,Athletico,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,7
Wesley,B10,7
Fabrício Bruno,B10,7
David Luiz,B10,8
Léo Pereira,B10,8
Léo Ortiz,B10,8.5
Gerson,B10,8
Lorran,B10,6.5
Bruno Henrique,B10,4.5
Luiz Araujo,B10,7
Pedro,B10,7
Vitor Hugo,B10,6.5
Rossi,Simões,7
Wesley,Simões,7
Fabrício Bruno,Simões,7
David Luiz,Simões,8.5
Léo Pereira,Simões,8
Léo Ortiz,Simões,8.5
Gerson,Simões,8
Lorran,Simões,6.5
Bruno Henrique,Simões,4
Luiz Araujo,Simões,7
Pedro,Simões,7.5
Vitor Hugo,Simões,6.5
