Data,2025-04-03,
Competição,LIB,
Time,Deportivo Táchira,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,6
Varela,B10,7.5
Léo Ortiz,B10,5.5
Léo Pereira,B10,6
Ayrton Lucas,B10,4.5
Pulgar,B10,8
De La Cruz,B10,7
Luiz Araujo,B10,3.5
Michael,B10,4
Cebolinha,B10,5
Bruno Henrique,B10,5
Juninho,B10,6.5
Alex Sandro,B10,7
Allan,B10,5.5
Rossi,Simões,6
Varela,Simões,7.5
Léo Ortiz,Simões,5.5
Léo Pereira,Simões,6
Ayrton Lucas,Simões,4
Pulgar,Simões,8
De La Cruz,Simões,7.5
Luiz Araujo,Simões,3
Michael,Simões,4
Cebolinha,Simões,5
Bruno Henrique,Simões,5
Juninho,Simões,7
Alex Sandro,Simões,7
Allan,Simões,5.5
