Data,2025-07-31,
Competição,CDB,
Time,Atlético-MG,
Local,C,
,,
Jogador,Nota por,Nota
Rossi,B10,6
Varela,B10,6.5
Léo Ortiz,B10,6.5
Léo Pereira,B10,3
Viña,B10,5
Evertton Araújo,B10,7
Allan,B10,3.5
G. Plata,B10,3.5
Wallace Yan,B10,6
Luiz Araujo,B10,4.5
Pedro,B10,5.5
Matheus Gonçalves,B10,5.5
Emerson Royal,B10,6.5
Rossi,Simões,6
Varela,Simões,7
Léo Ortiz,Simões,7
Léo Pereira,Simões,3
Viña,Simões,5
Evertton Araújo,Simões,7
Allan,Simões,3.5
G. Plata,Simões,3.5
Wallace Yan,Simões,6
Luiz Araujo,Simões,4.5
Pedro,Simões,5.5
Matheus Gonçalves,Simões,5.5
Emerson Royal,Simões,6.5
