Data,2024-10-30,
Competição,BR,
Time,Internacional,
Local,F,
,,
Jogador,Nota por,Nota
Rossi,B10,6.5
Rossi,Simões,5.5
Varela,B10,6
Varela,Simões,6.5
Fabrício Bruno,B10,5
Fabrício Bruno,Simões,5
Léo Ortiz,B10,7
Léo Ortiz,Simões,7
Ayrton Lucas,B10,2
Ayrton Lucas,Simões,2
Pulgar,B10,6
Pulgar,Simões,7
Evertton Araújo,B10,6.5
Evertton Araújo,Simões,6.5
Carlos Alcaraz,B10,6.5
Carlos Alcaraz,Simões,6.5
Gerson,B10,8
Gerson,Simões,8.5
G. Plata,B10,5
G. Plata,Simões,5
Bruno Henrique,B10,5
Bruno Henrique,Simões,5.5
