Data,2025-05-21,
Competição,CDB,
Time,Botafogo-PB,
Local,C,
,,
Jogador,Nota por,Nota
Matheus Cunha,B10,4
Varela,B10,8.5
Danilo,B10,7.5
João Victor,B10,7
Ayrton Lucas,B10,7
Evertton Araujo,B10,7
Gerson,B10,7.5
Michael,B10,5.5
Cebolinha,B10,6.5
Pedro,B10,5.5
Matheus Gonçalves,B10,4.5
Matheus Cunha,Simões,4.5
Varela,Simões,8.5
Danilo,Simões,7.5
João Victor,Simões,7
Ayrton Lucas,Simões,7
Evertton Araujo,Simões,6.5
Gerson,Simões,7.5
Michael,Simões,5.5
Cebolinha,Simões,7
Pedro,Simões,5.5
Matheus Gonçalves,Simões,4
